city,link,name,location,eventName
belo-horizonte-mg,https://www.sympla.com.br/bus-party-lua-blanco---belo-horizonte__111112,Lua Blanco ,sympla,Bus Party Lua Blanco - Belo Horizonte 
belo-horizonte-mg,https://www.sympla.com.br/curso-de-fotografia-sem-segredos-com-jc-volotao-__103846,JC Volotão,sympla,Curso de Fotografia Sem Segredos com JC Volotão ....
belo-horizonte-mg,https://www.sympla.com.br/quiropraxia-clinica-integrativa__100647,Aléssio Novais,sympla,Quiropraxia Clínica Integrativa
belo-horizonte-mg,https://www.sympla.com.br/sonata-arctica-em-belo-horizonte__110421,MS BHz ,sympla, Sonata Arctica em Belo Horizonte
belo-horizonte-mg,https://www.sympla.com.br/curso-presencial-seo-otimizacao-de-sites-em-bh-marco2017__110531,Nautilos,sympla,Curso Presencial SEO Otimização de Sites em BH (Março/2017)
belo-horizonte-mg,https://www.sympla.com.br/curso-presencial-anuncios-do-facebook-em-bh-junho2017__110583,Nautilos,sympla,Curso Presencial Anúncios do Facebook em BH (Junho/2017)
belo-horizonte-mg,https://www.sympla.com.br/programa-lider-coach-com-pnl-em-belo-horizonte-setembro-2017__107476,INEMP,sympla,Programa Líder Coach com PNL em Belo Horizonte (Setembro 2017) 
belo-horizonte-mg,https://www.sympla.com.br/rhapsody-reunion-em-bh__108625,MS BHz ,sympla,Rhapsody Reunion em BH
belo-horizonte-mg,https://www.sympla.com.br/extreme-day__109684,INEMP- Treinamento Extreme,sympla,Extreme Day 
belo-horizonte-mg,https://www.sympla.com.br/curso-oratoria-e-comunicacao-com-pnl--em-belo-horizonte---julho-2017__107465,INEMP,sympla,CURSO ORATÓRIA E COMUNICAÇÃO com PNL  em Belo Horizonte - Julho 2017
belo-horizonte-mg,https://www.sympla.com.br/curso-oratoria-e-comunicacao-com-pnl--em-belo-horizonte---setembro-2017__107468,INEMP,sympla,CURSO ORATÓRIA E COMUNICAÇÃO com PNL  em Belo Horizonte - Setembro 2017
belo-horizonte-mg,https://www.sympla.com.br/self-coaching-com-pnl-em-belo-horizonte-abril-2017__107479,INEMP,sympla,Self Coaching com PNL em Belo Horizonte (Abril 2017)
belo-horizonte-mg,https://www.sympla.com.br/curso-de-pilates-aereo__111701,O2 Fiti,sympla,Curso de Pilates Aéreo
belo-horizonte-mg,https://www.sympla.com.br/comunicacao-em-alta-performance-com-pnl__109639,Master Coach Mário Oliveira,sympla,Comunicação em Alta Performance com PNL 
belo-horizonte-mg,https://www.sympla.com.br/estudos-de-pnl__112157,Marcelo Carvalho,sympla,ESTUDOS DE PNL
belo-horizonte-mg,https://www.sympla.com.br/curso-de-pilates-de-solo__112277,O2 Fiti,sympla,Curso de Pilates de Solo
belo-horizonte-mg,https://www.sympla.com.br/modelo__112722,Fernanda Cristina,sympla,MODELO
belo-horizonte-mg,https://www.sympla.com.br/mantenha-o-respeito--marcelo-d2--sain--clube-chalezinho__112922,#BoraLá - Food Park,sympla,Mantenha o Respeito! ✩ Marcelo D2 + Sain ✩ Clube Chalezinho
belo-horizonte-mg,https://www.sympla.com.br/soumindful__114556,Oficina de Psicologia,sympla,SOUMINDFUL
belo-horizonte-mg,https://www.sympla.com.br/como-voce-deseja-iniciar-2017__114655,Metamorfose Eventos BH,sympla,Como você deseja iniciar 2017?
belo-horizonte-mg,https://www.sympla.com.br/curso-basico-de-midias-sociais__114318,JC Social Media  ,sympla,Curso Básico de Mídias Sociais 
belo-horizonte-mg,https://www.sympla.com.br/workshop-processos-estrategicos---como-diminuir-os-custos-e-ampliar-o-lucro-do-seu-restaurante__113967,PH GESTÃO PARA RESULTADOS,sympla,WORKSHOP PROCESSOS ESTRATÉGICOS - COMO DIMINUIR OS CUSTOS E AMPLIAR O LUCRO DO SEU RESTAURANTE?
belo-horizonte-mg,https://www.sympla.com.br/indie-party--especial-the-weeknd--bastille-phoenix--indie-rock-e-mais--sab1802__114056,INDIE PARTY,sympla,INDIE PARTY ✷ ESPECIAL THE WEEKND ✷ BASTILLE✷ PHOENIX ✷ INDIE ROCK E MAIS ♥ SÁB.18/02
belo-horizonte-mg,https://www.sympla.com.br/imersao-project-thinking---gestao-de-projetos-com-design-thinking---belo-horizonte__102739,RBN - Consultoria e Treinamento,sympla,Imersão Project Thinking - Gestão de Projetos com Design Thinking - Belo Horizonte
belo-horizonte-mg,https://www.sympla.com.br/lider-coach--colecao-lideranca-sbcoaching__114420,SBCoaching Empresas - Belo Horizonte - Unidade 61,sympla,Líder Coach | Coleção Liderança SBCoaching
belo-horizonte-mg,https://www.sympla.com.br/sucesso-em-lideranca--colecao-sucesso---sbcoaching__114422,SBCoaching Empresas - Belo Horizonte - Unidade 61,sympla,Sucesso em Liderança | Coleção Sucesso - SBCoaching
belo-horizonte-mg,https://www.sympla.com.br/soumindful__114556,Oficina de Psicologia,sympla,SOUMINDFUL
belo-horizonte-mg,https://www.sympla.com.br/como-voce-deseja-iniciar-2017__114655,Metamorfose Eventos BH,sympla,Como você deseja iniciar 2017?
belo-horizonte-mg,https://www.sympla.com.br/curso-basico-de-midias-sociais__114318,JC Social Media  ,sympla,Curso Básico de Mídias Sociais 
belo-horizonte-mg,https://www.sympla.com.br/workshop-o-autista-e-sua-relacao-com-o-aprender__115228,Aprendizagem e Companhia,sympla,Workshop “O autista e sua relação com o aprender”
belo-horizonte-mg,https://www.sympla.com.br/curso-de-interpretacao-e-implementacao-da-nbr-iso-90012015__115395,UBQ - União Brasileira para a Qualidade,sympla,Curso de Interpretação e Implementação da NBR ISO 9001:2015
belo-horizonte-mg,https://www.sympla.com.br/nao-me-leve-a-mal-e-carnaval-quintinha-16fev__114250,Clube Chalezinho,sympla,Não Me Leve a Mal, É Carnaval! Quintinha 16fev
belo-horizonte-mg,https://www.sympla.com.br/love-selling-como-vender-sem-ser-chato__115941,GUAJA Casa,sympla,Love Selling: Como vender sem ser chato
belo-horizonte-mg,https://www.sympla.com.br/aquiles-priester-e-maiden-hell__117000,MS BHz ,sympla,Aquiles Priester e Maiden Hell
belo-horizonte-mg,https://www.sympla.com.br/meu-fechamento-e-o-bf__112527,Arena Mirante,sympla,Meu fechamento é o BF
belo-horizonte-mg,https://www.sympla.com.br/noite-burlesca__116680,Deserto Elétrico Produções,sympla,Noite Burlesca
belo-horizonte-mg,https://www.sympla.com.br/lacra-a-purpurina--2-edicao__117169,Amadoria,sympla,Lacra a purpurina | 2ª edição
belo-horizonte-mg,https://www.sympla.com.br/foliaelvis__117178,Clube Elvis,sympla,FOLIAELVIS!!!!!!!!!!
belo-horizonte-mg,https://www.sympla.com.br/palestras-fintechs__112512,SINDISFAC MG,sympla,Palestras FINTECHs
belo-horizonte-mg,https://www.sympla.com.br/bar-imaginario-emergelab-efe-godoy__117229,EMERGE_LAB,sympla,Bar Imaginário: EmergeLab +Efe Godoy
belo-horizonte-mg,https://www.sympla.com.br/linkedin-business---marketing-negocios-e-anuncios-na-plataforma__117246,Locawork,sympla, Linkedin Business - Marketing, Negócios e Anúncios na plataforma.
belo-horizonte-mg,https://www.sympla.com.br/fdt-14s2-pre-carnaval__115371,TURMA 14S2,sympla,FDT 14S2: PRÉ-CARNAVAL
belo-horizonte-mg,https://www.sympla.com.br/ingles-para-negocios__117390,Cristiane Ferreira ,sympla,Inglês para Negócios 
