city,link,name,location,eventName
sao-paulo-sp,https://www.sympla.com.br/ciclo--de-aulas-inaugurais-bsp---business-school-sao-paulo__111308,BSP - Business School São Paulo,sympla,Ciclo  de Aulas Inaugurais BSP - Business School São Paulo 
sao-paulo-sp,https://www.sympla.com.br/ii-simposio-internacional-de-qualidade-e-seguranca-do-paciente__95686,Instituto Brasileiro para Segurança do Paciente,sympla,II Simpósio Internacional de Qualidade e Segurança do Paciente
sao-paulo-sp,https://www.sympla.com.br/oficinas-gratuitas-de-inclusao-digital--modulo-iii-e-iv----planilhas-eletronicas--abril__101994,Centro Profissionalizante Lar Sírio,sympla,Oficinas Gratuitas de Inclusão Digital- Módulo III e IV  - Planilhas Eletrônicas -Abril
sao-paulo-sp,https://www.sympla.com.br/aula-the-school-of-life-sp---como-tomar-decisoes-melhores__110385,The School of Life,sympla,Aula The School of Life SP - Como Tomar Decisões Melhores 
sao-paulo-sp,https://www.sympla.com.br/labchart-training-course__110726,ADInstruments do Brasil,sympla,LabChart Training Course
sao-paulo-sp,https://www.sympla.com.br/oficinas-gratuitas-de-inclusao-digital-modulo-i-sistema-operacional-e-modulo-ii-editor-de-textos__105582,Centro Profissionalizante Lar Sírio,sympla,Oficinas Gratuitas de Inclusão Digital Módulo I Sistema Operacional e Módulo II Editor de Textos 
sao-paulo-sp,https://www.sympla.com.br/oficinas-gratuitas-de-inclusao-digital-modulo-i-sistema-operacional-e-modulo-ii-editor-de-textos__105563,Centro Profissionalizante Lar Sírio,sympla,Oficinas Gratuitas de Inclusão Digital Módulo I Sistema Operacional e Módulo II Editor de Textos
sao-paulo-sp,https://www.sympla.com.br/cafe-cientifico-no-hospital-do-servidor-publico-estadual---iamspe__106789,Eliane,sympla,CAFÉ CIENTÍFICO NO HOSPITAL DO SERVIDOR PUBLICO ESTADUAL - IAMSPE
sao-paulo-sp,https://www.sympla.com.br/ag-branding-para-blogueiros---ultima-edicao__106602,AG Branding,sympla,AG Branding para Blogueiros – última edição!
sao-paulo-sp,https://www.sympla.com.br/oficinas-gratuitas-de-inclusao-digital-modulo-i-sistema-operacional-e-modulo-ii-editor-de-textos__105584,Centro Profissionalizante Lar Sírio,sympla,Oficinas Gratuitas de Inclusão Digital Módulo I Sistema Operacional e Módulo II Editor de Textos 
sao-paulo-sp,https://www.sympla.com.br/ceu---casais-enriquecem-unidos-com-nelma-penteado__99615,ND Eventos,sympla,C.E.U. - CASAIS ENRIQUECEM UNIDOS com Nelma Penteado
